STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
559,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190827\CT-CT04_08325_8-26-2019.JPG,12.0,White-tailed deer
560,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_04_190910\BVT-BVT04_01434_8-29-2019.JPG,7.0,Coyote
561,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_08_190520\BSE-BVSE08_06937_5-20-2019.JPG,9.0,Humans
562,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00195_8-17-2019.JPG,15.0,Rabbit
563,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_09742_9-7-2019.JPG,12.0,White-tailed deer
564,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190729\CN-CON04_01670_7-19-2019.JPG,12.0,White-tailed deer
565,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190301\BVH-BVH02_00051_2-14-2019.JPG,11.0,"Exotics, other"
566,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_3_190301\BSM-BVSM3_00017_2-8-2019.JPG,13.0,Nilgai
567,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05949_1-5-2019.JPG,11.0,"Exotics, other"
568,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190620\CNC-CONC12_01133_6-9-2019.JPG,5.0,Pig
569,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01485_2-21-2019.JPG,21.0,Mouse
570,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0666_190911\CLE-COLE0666_00051_8-29-2019.JPG,27.0,Opossum
571,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00606_6-13-2019.JPG,25.0,Dog
572,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00313_6-11-2019.JPG,25.0,Dog
573,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190123\CNE-CONE05.35_00139_1-12-2019.JPG,15.0,Rabbit
574,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_12_190827\CSE-COSE12_00131_8-14-2019.JPG,21.0,Mouse
575,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_05_190730\BEM-BVEM05_01437_6-20-2019.JPG,6.0,Cattle
576,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_05126_8-18-2019.JPG,18.0,Unknown
577,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04290_12-21-2018.JPG,17.0,Raccoon
578,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190827\CT-CT04_07071_8-24-2019.JPG,12.0,White-tailed deer
579,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_10_190404\BSW-BVSW10_00116_3-16-2019.JPG,6.0,Cattle
580,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_08183_9-5-2019.JPG,17.0,Raccoon
581,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_03_190403\RCW-RCW03_02043_3-13-2019.JPG,12.0,White-tailed deer
582,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_06_190429\CLE-COLE06_00102_4-14-2019.JPG,10.0,Birds
583,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_06_190617\CLE-COLE06_00367_6-7-2019.JPG,10.0,Birds
584,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190429\CNC-CONC12_02639_4-15-2019.JPG,12.0,White-tailed deer
585,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.3_190228_Cam41\RCW-RCW02.3_00291_1-30-2019.JPG,13.0,Nilgai
586,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190402\CNC-CONC11_02407_3-31-2019.JPG,27.0,Opossum
587,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_01267_8-21-2019.JPG,17.0,Raccoon
588,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00390_9-7-2019.JPG,25.0,Dog
589,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00259_8-22-2019.JPG,15.0,Rabbit
590,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190117_Cam72\BV_BVS01_Cam72_190117_00062_1-16-2019.JPG,7.0,Coyote
591,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00839_8-7-2019.JPG,26.0,Armadillo
592,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.2_190723\CNE-CONE05.2_09051_7-21-2019.JPG,0.0,None
593,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190404\RUS-RUS04_00122_3-10-2019.JPG,10.0,Birds
594,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190301\BEM-BVEM02_01259_2-12-2019.JPG,8.0,Bobcat
595,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00488_6-13-2019.JPG,25.0,Dog
596,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01314_7-27-2019.JPG,33.0,Turkey
597,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam79\RCW-RCW07.2_00036_2-13-2019.JPG,9.0,Humans
598,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04005_12-18-2018.JPG,17.0,Raccoon
599,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190402\CSC-CSC11_03718_3-8-2019.JPG,9.0,Humans
600,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190211\CSC-CSC12_00568_2-1-2019.JPG,7.0,Coyote
601,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_Cam78_190827\CSE-COSE0.8_00307_8-21-2019.JPG,15.0,Rabbit
602,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_01135_9-14-2019.JPG,18.0,Unknown
603,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190207_Cam39\BVS-BVS02_00323_1-25-2019.JPG,7.0,Coyote
604,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_04_190424\BSE-BVSE04_17807_4-9-2019.JPG,6.0,Cattle
605,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_01372_7-18-2019.JPG,26.0,Armadillo
606,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190403_Cam85\RCW-RCW00.2_04418_3-20-2019.JPG,13.0,Nilgai
607,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190812\CSC-CSC11_00427_8-13-2019.JPG,21.0,Mouse
608,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190812\CLE-COLE0667_08490_8-9-2019.JPG,15.0,Rabbit
609,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_00256_2-11-2019.JPG,15.0,Rabbit
610,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_07_190528\RUS-RUS07_00909_5-11-2019.JPG,12.0,White-tailed deer
611,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_01262_7-16-2019.JPG,27.0,Opossum
612,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00724_6-13-2019.JPG,25.0,Dog
613,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_01_190729\CNW-CONW01_02670_7-22-2019.JPG,12.0,White-tailed deer
614,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190729\CSE-COSE111_00307_7-11-2019.JPG,9.0,Humans
615,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01601_2-5-2019.JPG,17.0,Raccoon
616,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_01817_2-22-2019.JPG,8.0,Bobcat
617,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190211\CNC-CONC12_00253_1-26-2019.JPG,25.0,Dog
618,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190301\RUE-RUE05_00651_2-12-2019.JPG,7.0,Coyote
619,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190424\RUS-RUS02_00183_4-19-2019.JPG,22.0,Rat
620,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00379_9-7-2019.JPG,25.0,Dog
621,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00343_8-6-2019.JPG,22.0,Rat
622,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX1943.JPG,24.0,Horse
623,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_04_190827\BVT-BVT04_02667_8-15-2019.JPG,0.0,None
624,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190404_Cam149\CLE-COLE11_02791_3-29-2019.JPG,13.0,Nilgai
625,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_04542_2-17-2019.JPG,7.0,Coyote
626,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_00616_1-28-2019.JPG,7.0,Coyote
627,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.5_190507\RCW-RCW02.5_02412_4-23-2019.JPG,28.0,Spider
628,Russel Trough,F:\Nilgai_photo_database\RU\RT\R_T_01_190813\RT-RT01_00439_8-8-2019.JPG,9.0,Humans
629,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09.1_190528\RCW-RCW09.1_00005_4-7-2019.JPG,5.0,Pig
630,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00121_3-21-2019.JPG,28.0,Spider
631,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190207_Cam138\RCNX0674.JPG,9.0,Humans
632,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00765_6-14-2019.JPG,25.0,Dog
633,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_22_190403\RCW-RCW22_00277_3-14-2019.JPG,9.0,Humans
634,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00883_8-19-2019.JPG,17.0,Raccoon
635,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_04_190118\BVE-BVE04_00023_1-11-2019.JPG,7.0,Coyote
636,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190301\RUE-RUE05_00717_2-13-2019.JPG,13.0,Nilgai
637,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07.1_190729\CNC-CONC07.1_00715_7-23-2019.JPG,10.0,Birds
638,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190211\CNC-CONC07_00228_2-8-2019.JPG,13.0,Nilgai
639,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190509\RCNX8001.JPG,11.0,"Exotics, other"
640,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_Cam78_190827\CSE-COSE0.8_00420_8-26-2019.JPG,26.0,Armadillo
641,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190507_Cam84\RCW-RCW02.1_00361_3-7-2019.JPG,26.0,Armadillo
642,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_00093_12-8-2018.JPG,5.0,Pig
643,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00077_4-8-2019.JPG,19.0,Ocelot
644,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190311\CNE-CONE05.35_00106_3-2-2019.JPG,5.0,Pig
645,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00150_8-3-2019.JPG,22.0,Rat
646,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00135_8-16-2019.JPG,15.0,Rabbit
647,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190812\CSC-CSC11_00324_8-9-2019.JPG,10.0,Birds
648,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_01_190507\RCW-RCW01_00081_4-8-2019.JPG,13.0,Nilgai
649,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06358_8-15-2019.JPG,32.0,Tortoise/Turtle
650,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_12_190402\CSE-COSE12_00109_3-7-2019.JPG,9.0,Humans
651,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00132_3-21-2019.JPG,28.0,Spider
652,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190301\BEM-BVEM02_01566_2-22-2019.JPG,8.0,Bobcat
653,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00595_4-15-2019.JPG,22.0,Rat
654,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190404_Cam37\BVS-BVS02_19659_3-13-2019.JPG,0.0,None
655,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_3_190125\BSM-BVSM3_00050_1-7-2019.JPG,10.0,Birds
656,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_02_190827\CSE-COSE02_00045_8-13-2019.JPG,9.0,Humans
657,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_11_190509\BSW-BVSW11_00498_5-5-2019.JPG,8.0,Bobcat
658,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_08_190912\CNC-CONC08_00015_8-27-2019.JPG,9.0,Humans
659,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_Cam75_190813\BVS-BVS01_05030_7-30-2019.JPG,13.0,Nilgai
660,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190924_cam78\CSE-COSE0.8_00003_9-11-2019.JPG,9.0,Humans
661,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_08_190207_Cam143\RCNX2449.JPG,5.0,Pig
662,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_00283_7-30-2019.JPG,17.0,Raccoon
663,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190211_Cam108\CNC-CONC07_00022_1-23-2019.JPG,7.0,Coyote
664,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_16_190522\CSE-COSE16_00346_5-2-2019.JPG,13.0,Nilgai
665,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00076_4-8-2019.JPG,19.0,Ocelot
666,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190404_Cam (Not 75)\BVS-BVS01_00097_3-19-2019.JPG,15.0,Rabbit
667,Rio Costero South,F:\Nilgai_photo_database\RC\RCS\RC_S_02_190403\RCS-RCS02_00821_3-25-2019.JPG,9.0,Humans
668,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02571_2-23-2019.JPG,27.0,Opossum
669,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01605_2-23-2019.JPG,22.0,Rat
670,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_19_190301_CamNilgai4\BV_M_19_190301_CamNilgai4_00023_1-28-2019.JPG,18.0,Unknown
671,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00735_8-17-2019.JPG,17.0,Raccoon
672,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190827\CLE-COLE12_01844_8-23-2019.JPG,21.0,Mouse
673,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00272_4-19-2019.JPG,19.0,Ocelot
674,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_01363_7-18-2019.JPG,26.0,Armadillo
675,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190110\BVM-BVM20_00892_1-5-2019.JPG,5.0,Pig
676,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06356_8-15-2019.JPG,32.0,Tortoise/Turtle
677,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00337_8-29-2019.JPG,27.0,Opossum
678,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_10_190301\BSW-BVSW10_01572_2-26-2019.JPG,6.0,Cattle
679,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_08_190301\BSE-BVSE08_00676_2-23-2019.JPG,6.0,Cattle
680,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_13_190211\CSC-COSC13_01894_1-27-2018.JPG,21.0,Mouse
681,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_10_190404\BSW-BVSW10_00338_3-16-2019.JPG,6.0,Cattle
682,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190730\BSE-BVSE03_01695_6-30-2018.JPG,6.0,Cattle
683,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00256_8-29-2019.JPG,27.0,Opossum
684,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00208_4-7-2019.JPG,22.0,Rat
685,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00444_4-12-2019.JPG,22.0,Rat
686,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_04_190827\RUM-RUM04_08042_8-15-2019.JPG,21.0,Mouse
687,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.5_190812\CNE-CONE05.5_00561_8-9-2019.JPG,8.0,Bobcat
688,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_02938_3-6-2019.JPG,21.0,Mouse
689,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_04827_8-17-2019.JPG,18.0,Unknown
690,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212_Cam77\RCW-RCW07.1_02407_2-5-2019.JPG,7.0,Coyote
691,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_12_190403\RCW-RCW12_00646_3-26-2019.JPG,10.0,Birds
692,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190207_Cam39\BVS-BVS02_00346_1-27-2019.JPG,13.0,Nilgai
693,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190619\CNE-CONE05.35_00392_6-18-2019.JPG,5.0,Pig
694,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00342_7-11-2019.JPG,33.0,Turkey
695,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190322\CNC-CONC65.5_18960_3-16-2019.JPG,10.0,Birds
696,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_07030_9-3-2019.JPG,17.0,Raccoon
697,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_07_190404\RUE-RUE07_00373_3-23-2019.JPG,13.0,Nilgai
698,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190827\CLE-COLE0667_09318_8-21-2019.JPG,0.0,None
699,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00303_6-11-2019.JPG,25.0,Dog
700,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00083_3-1-2019.JPG,22.0,Rat
701,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_01_190827\BVT-BVT01_04726_8-14-2019.JPG,0.0,None
702,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190429\CNC-CONC11_02605_4-28-2019.JPG,26.0,Armadillo
703,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190924\CN-CON03_00249_9-23-2019.JPG,21.0,Mouse
704,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190228_Cam77\RCW-RCW07.1_00379_2-20-2019.JPG,9.0,Humans
705,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_02114_2-25-2019.JPG,21.0,Mouse
706,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_25_190301\RCW-RCW25_00864_2-22-2019.JPG,13.0,Nilgai
707,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190521\CNC-CONC65.5_00447_5-3-2019.JPG,10.0,Birds
708,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190729\CT-CT06_02575_7-15-2019.JPG,9.0,Humans
709,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_08_190207_Cam133\RCNX0623.JPG,9.0,Humans
710,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00777_4-18-2019.JPG,22.0,Rat
711,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_03486_3-14-2019.JPG,18.0,Unknown
712,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0672_190403\CLE-COLE0672_00703_3-22-2019.JPG,13.0,Nilgai
713,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190429\CNC-CONC11_02271_4-21-2019.JPG,27.0,Opossum
714,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212\RCW-RCW07.1_00208_2-14-2019.JPG,21.0,Mouse
715,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_07_190207_Cam132\RCNX2198.JPG,7.0,Coyote
716,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0670_190911\CLE-COLE0670_00289_9-5-2019.JPG,13.0,Nilgai
717,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00405_9-8-2019.JPG,25.0,Dog
718,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190619\CT-CT04_00767_6-10-2019.JPG,9.0,Humans
719,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_01_190910\BVH-BVH01_00029_8-28-2019.JPG,9.0,Humans
720,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_04731_8-17-2019.JPG,18.0,Unknown
721,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06049_8-18-2019.JPG,18.0,Unknown
722,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190827\BSE-BVSE02_02975_8-18-2019.JPG,0.0,None
723,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_12_190211\CSE-COSE12_00049_1-19-2019.JPG,13.0,Nilgai
724,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_21_190204\RCW-RCW21_00169_1-16-2019.JPG,9.0,Humans
725,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_05017_8-18-2019.JPG,18.0,Unknown
726,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190429\CN-CON04_00349_4-9-2019.JPG,6.0,Cattle
727,Russel Pine Tree,F:\Nilgai_photo_database\RU\RPT\R_PT_01_190827\RPT-RPT01_05101_8-25-2019.JPG,0.0,None
728,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00831_7-19-2019.JPG,33.0,Turkey
729,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190507_Cam84\RCW-RCW02.1_00120_2-15-2019.JPG,8.0,Bobcat
730,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00148_3-1-2019.JPG,22.0,Rat
731,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06507_8-19-2019.JPG,18.0,Unknown
732,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190729\CNC-CONC11_02683_7-17-2019.JPG,26.0,Armadillo
733,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00602_8-5-2019.JPG,27.0,Opossum
734,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00043_8-27-2019.JPG,15.0,Rabbit
735,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190729\CLE-COLE0667_01381_7-17-2019.JPG,9.0,Humans
736,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190404_Cam149\CLE-COLE11_01966_3-16-2019.JPG,25.0,Dog
737,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190827\CNE-CONE05.35_01445_8-15-2019.JPG,5.0,Pig
738,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_055_190729\CLE-COLE055_00149_7-1-2019.JPG,8.0,Bobcat
739,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_07_190301\BSW-BVSW07_00113_2-8-2019.JPG,9.0,Humans
740,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190827\CNE-CONE05.35_00474_8-13-2019.JPG,8.0,Bobcat
741,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0671_190729\CLE-COLE0671_00068_6-25-2019.JPG,13.0,Nilgai
742,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03767_12-16-2018.JPG,11.0,"Exotics, other"
743,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_08435_2-24-2019.JPG,8.0,Bobcat
744,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_04_190227\CSE-COSE04_00015_2-12-2019.JPG,22.0,Rat
745,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_04_190910\BVT-BVT04_02956_8-31-2019.JPG,0.0,None
